[2025-03-17 19:19:27.787] [info]  DiscordSplash.signalReady
[2025-03-17 19:19:27.809] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-03-17 19:19:27.809] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-03-17 19:19:27.813] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-03-17 19:19:27.815] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-03-17 19:19:27.815] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-03-17 19:19:27.816] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-03-17 19:19:27.816] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-03-17 19:19:27.816] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-03-17 19:19:27.821] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-03-17 19:19:27.822] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-03-17 19:19:27.831] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-03-17 19:19:27.831] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-03-17 19:19:27.832] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-03-17 19:19:27.832] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-03-17 19:19:28.166] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-03-17 19:19:28.167] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-03-17 19:19:28.459] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-03-17 19:19:28.459] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-03-17 19:19:28.460] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-03-17 19:19:28.460] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-03-17 19:19:28.470] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-03-17 19:19:28.470] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-03-17 19:19:28.470] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-03-17 19:19:28.470] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-03-17 19:19:28.472] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-03-17 19:19:28.472] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-03-17 19:19:28.476] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-03-17 19:19:28.476] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-03-17 19:19:28.480] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-03-17 19:19:28.480] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-03-17 19:19:28.480] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-03-17 19:19:28.480] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-03-17 19:19:28.482] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2025-03-17 19:19:28.489] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2025-03-17 19:19:28.492] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-03-17 19:19:28.493] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-03-17 19:19:28.493] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
